dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank,the_straw
7,106,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,188,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1278,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1522,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,2487,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2873,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
1,3582,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,4675,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
9,4698,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,4809,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,4941,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5379,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
6,5698,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
7,5877,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,6745,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6854,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,7048,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,7345,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,7926,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,8245,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,10106,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
2,10109,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,10290,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,10998,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,11165,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,12492,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,14077,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,14258,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,14722,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,15456,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,15661,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,15692,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,16470,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,16832,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,17790,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,18051,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,18390,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,18950,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
