dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank
,3030,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,4239,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4749,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,5179,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,5478,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,5608,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,5674,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,5710,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,6079,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,8740,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,9196,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,9207,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,10153,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,10514,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,11445,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,12206,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12315,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,12546,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,12967,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,13085,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,13109,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,14170,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,15319,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,15736,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,16021,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,16053,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,17768,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,19197,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,19431,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,19565,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,20091,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,20425,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,20686,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,20973,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,21717,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,23105,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,24138,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,24355,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,24780,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,25660,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,26440,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,28368,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,28619,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,29687,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,30368,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,30836,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,31190,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,31576,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,32376,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,33227,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,33349,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,34058,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,34346,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,34408,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,34486,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,34686,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,35860,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,36053,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,36280,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,37129,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,37265,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,37426,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,37604,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,38396,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,38723,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,38886,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,40339,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,41620,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,42812,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,43094,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,43286,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,44555,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,45067,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,45103,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,45220,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,45316,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,45777,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,45990,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
