dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank
6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,574,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,637,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,706,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,845,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,972,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,994,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1014,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1096,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1128,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1136,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1149,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1294,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1340,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1435,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1490,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1714,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1819,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1883,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1907,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1928,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2026,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2050,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2063,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2063,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2084,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2116,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2119,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2162,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2267,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2352,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2391,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2427,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2471,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2495,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2728,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2746,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2809,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2827,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2890,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2908,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2952,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2963,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2975,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3062,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3150,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3251,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3366,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3383,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3456,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3517,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3611,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3703,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3737,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3777,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3788,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3792,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3812,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3883,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3894,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3900,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3975,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3987,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3997,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4085,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4161,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4225,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4226,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4273,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4352,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4388,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4393,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4417,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4452,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4465,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4469,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4746,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4851,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4858,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4981,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5007,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5107,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5145,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5277,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5379,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5465,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5480,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5543,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5550,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5553,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5625,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
